Original Title,Authors,cleaned_title
A Transfer Learning Framework for Multilayer Networks via Model Averaging,"Yongqin Qiu,Xinyu Zhang",transfer learning framework multilayer network via model averaging
On the existence of consistent adversarial attacks in high-dimensional linear classification,"Matteo Vilucchio,Lenka Zdeborová,Bruno Loureiro",existence consistent adversarial attack highdimensional linear classification
Adjusted Shuffling SARAH: Advancing Complexity Analysis via Dynamic Gradient Weighting,"Duc Toan Nguyen,Trang H. Tran,Lam M. Nguyen",adjusted shuffling sarah advancing complexity analysis via dynamic gradient weighting
Optimizing Federated Learning using Remote Embeddings for Graph Neural Networks,"Pranjal Naman,Yogesh Simmhan",optimizing federated learning using remote embeddings graph neural network
Noise tolerance via reinforcement: Learning a reinforced quantum dynamics,Abolfazl Ramezanpour,noise tolerance via reinforcement learning reinforced quantum dynamic
Efficient Unified Caching for Accelerating Heterogeneous AI Workloads,"Tianze Wang,Yifei Liu,Chen Chen,Pengfei Zuo,Jiawei Zhang,Qizhen Weng,Yin Chen,Zhenhua Han,Jieru Zhao,Quan Chen,Minyi Guo",efficient unified caching accelerating heterogeneous workload
SplashNet: Split-and-Share Encoders for Accurate and Efficient Typing with Surface Electromyography,"Nima Hadidi,Jason Chan,Ebrahim Feghhi,Jonathan Kao",splashnet splitandshare encoders accurate efficient typing surface electromyography
Efficient Multi-Camera Tokenization with Triplanes for End-to-End Driving,"Boris Ivanovic,Cristiano Saltori,Yurong You,Yan Wang,Wenjie Luo,Marco Pavone",efficient multicamera tokenization triplanes endtoend driving
Statistical Machine Learning for Astronomy -- A Textbook,Yuan-Sen Ting,statistical machine learning astronomy textbook
Directed Acyclic Graph Convolutional Networks,"Samuel Rey,Hamed Ajorlou,Gonzalo Mateos",directed acyclic graph convolutional network
Machine Intelligence on Wireless Edge Networks,"Sri Krishna Vadlamani,Kfir Sulimany,Zhihui Gao,Tingjun Chen,Dirk Englund",machine intelligence wireless edge network
"OSI Stack Redesign for Quantum Networks: Requirements, Technologies, Challenges, and Future Directions","Shakil Ahmed,Muhammad Kamran Saeed,Ashfaq Khokhar",osi stack redesign quantum network requirement technology challenge future direction
Temporal cross-validation impacts multivariate time series subsequence anomaly detection evaluation,"Steven C. Hespeler,Pablo Moriano,Mingyan Li,Samuel C. Hollifield",temporal crossvalidation impact multivariate time series subsequence anomaly detection evaluation
Improved Ground State Estimation in Quantum Field Theories via Normalising Flow-Assisted Neural Quantum States,"Vishal S. Ngairangbam,Michael Spannowsky,Timur Sypchenko",improved ground state estimation quantum field theory via normalising flowassisted neural quantum state
UCD: Unlearning in LLMs via Contrastive Decoding,"Vinith M. Suriyakumar,Ayush Sekhari,Ashia Wilson",ucd unlearning llm via contrastive decoding
Enhancing Traffic Accident Classifications: Application of NLP Methods for City Safety,"Enes Özeren,Alexander Ulbrich,Sascha Filimon,David Rügamer,Andreas Bender",enhancing traffic accident classification application nlp method city safety
Constant Bit-size Transformers Are Turing Complete,"Qian Li,Yuyi Wang",constant bitsize transformer turing complete
On Monotonicity in AI Alignment,"Gilles Bareilles,Julien Fageot,Lê-Nguyên Hoang,Peva Blanchard,Wassim Bouaziz,Sébastien Rouault,El-Mahdi El-Mhamdi",monotonicity alignment
SIMSHIFT: A Benchmark for Adapting Neural Surrogates to Distribution Shifts,"Paul Setinek,Gianluca Galletti,Thomas Gross,Dominik Schnürer,Johannes Brandstetter,Werner Zellinger",simshift benchmark adapting neural surrogate distribution shift
An Efficient Compression of Deep Neural Network Checkpoints Based on Prediction and Context Modeling,"Yuriy Kim,Evgeny Belyaev",efficient compression deep neural network checkpoint based prediction context modeling
pLSTM: parallelizable Linear Source Transition Mark networks,"Korbinian Pöppel,Richard Freinschlag,Thomas Schmied,Wei Lin,Sepp Hochreiter",plstm parallelizable linear source transition mark network
Compression Aware Certified Training,"Changming Xu,Gagandeep Singh",compression aware certified training
Self-Regulating Cars: Automating Traffic Control in Free Flow Road Networks,"Ankit Bhardwaj,Rohail Asim,Sachin Chauhan,Yasir Zaki,Lakshminarayanan Subramanian",selfregulating car automating traffic control free flow road network
Visual Pre-Training on Unlabeled Images using Reinforcement Learning,"Dibya Ghosh,Sergey Levine",visual pretraining unlabeled image using reinforcement learning
TreeRL: LLM Reinforcement Learning with On-Policy Tree Search,"Zhenyu Hou,Ziniu Hu,Yujiang Li,Rui Lu,Jie Tang,Yuxiao Dong",treerl llm reinforcement learning onpolicy tree search
Scalable Generalized Bayesian Online Neural Network Training for Sequential Decision Making,"Gerardo Duran-Martin,Leandro Sánchez-Betancourt,Álvaro Cartea,Kevin Murphy",scalable generalized bayesian online neural network training sequential decision making
Measurement-aligned Flow for Inverse Problem,"Shaorong Zhang,Rob Brekelmans,Yunshu Wu,Greg Ver Steeg",measurementaligned flow inverse problem
"Understanding Input Selectivity in Mamba: Impact on Approximation Power, Memorization, and Associative Recall Capacity","Ningyuan Huang,Miguel Sarabia,Abhinav Moudgil,Pau Rodriguez,Luca Zappella,Federico Danieli",understanding input selectivity mamba impact approximation power memorization associative recall capacity
In Defense of Defensive Forecasting,"Juan Carlos Perdomo,Benjamin Recht",defense defensive forecasting
SEC-bench: Automated Benchmarking of LLM Agents on Real-World Software Security Tasks,"Hwiwon Lee,Ziqi Zhang,Hanxiao Lu,Lingming Zhang",secbench automated benchmarking llm agent realworld software security task
SSPINNpose: A Self-Supervised PINN for Inertial Pose and Dynamics Estimation,"Markus Gambietz,Eva Dorschky,Altan Akat,Marcel Schöckel,Jörg Miehling,Anne D. Koelewijn",sspinnpose selfsupervised pinn inertial pose dynamic estimation
Taxonomy of reduction matrices for Graph Coarsening,"Antonin Joly,Nicolas Keriven,Aline Roumy",taxonomy reduction matrix graph coarsening
Growing with Experience: Growing Neural Networks in Deep Reinforcement Learning,"Lukas Fehring,Marius Lindauer,Theresa Eimer",growing experience growing neural network deep reinforcement learning
Geometry-Aware Edge Pooling for Graph Neural Networks,"Katharina Limbeck,Lydia Mezrag,Guy Wolf,Bastian Rieck",geometryaware edge pooling graph neural network
Physically-informed change-point kernels for structural dynamics,"Daniel James Pitchforth,Matthew Rhys Jones,Samuel John Gibson,Elizabeth Jane Cross",physicallyinformed changepoint kernel structural dynamic
Machine Unlearning for Robust DNNs: Attribution-Guided Partitioning and Neuron Pruning in Noisy Environments,"Deliang Jin,Gang Chen,Shuo Feng,Yufeng Ling,Haoran Zhu",machine unlearning robust dnns attributionguided partitioning neuron pruning noisy environment
KCES: Training-Free Defense for Robust Graph Neural Networks via Kernel Complexity,"Yaning Jia,Shenyang Deng,Chiyu Ma,Yaoqing Yang,Soroush Vosoughi",kces trainingfree defense robust graph neural network via kernel complexity
Robust Filtering -- Novel Statistical Learning and Inference Algorithms with Applications,Aamir Hussain Chughtai,robust filtering novel statistical learning inference algorithm application
Delayformer: spatiotemporal transformation for predicting high-dimensional dynamics,"Zijian Wang,Peng Tao,Luonan Chen",delayformer spatiotemporal transformation predicting highdimensional dynamic
Brewing Knowledge in Context: Distillation Perspectives on In-Context Learning,"Chengye Li,Haiyun Liu,Yuanxi Li",brewing knowledge context distillation perspective incontext learning
Task-Driven Discrete Representation Learning,Tung-Long Vuong,taskdriven discrete representation learning
Position Paper: Rethinking AI/ML for Air Interface in Wireless Networks,"Georgios Kontes,Diomidis S. Michalopoulos,Birendra Ghimire,Christopher Mutschler",position paper rethinking aiml air interface wireless network
Dynamic Sparse Training of Diagonally Sparse Networks,"Abhishek Tyagi,Arjun Iyer,William H Renninger,Christopher Kanan,Yuhao Zhu",dynamic sparse training diagonally sparse network
TruncQuant: Truncation-Ready Quantization for DNNs with Flexible Weight Bit Precision,"Jinhee Kim,Seoyeon Yoon,Taeho Lee,Joo Chan Lee,Kang Eun Jeon,Jong Hwan Ko",truncquant truncationready quantization dnns flexible weight bit precision
PPDiff: Diffusing in Hybrid Sequence-Structure Space for Protein-Protein Complex Design,"Zhenqiao Song,Tiaoxiao Li,Lei Li,Martin Renqiang Min",ppdiff diffusing hybrid sequencestructure space proteinprotein complex design
Bias Amplification in RAG: Poisoning Knowledge Retrieval to Steer LLMs,"Linlin Wang,Tianqing Zhu,Laiqiao Qin,Longxiang Gao,Wanlei Zhou",bias amplification rag poisoning knowledge retrieval steer llm
"Byzantine Outside, Curious Inside: Reconstructing Data Through Malicious Updates","Kai Yue,Richeng Jin,Chau-Wai Wong,Huaiyu Dai",byzantine outside curious inside reconstructing data malicious update
FIGNN: Feature-Specific Interpretability for Graph Neural Network Surrogate Models,"Riddhiman Raut,Romit Maulik,Shivam Barwey",fignn featurespecific interpretability graph neural network surrogate model
The Effect of Stochasticity in Score-Based Diffusion Sampling: a KL Divergence Analysis,"Bernardo P. Schaeffer,Ricardo M. S. Rosa,Glauco Valle",effect stochasticity scorebased diffusion sampling divergence analysis
EDN: A Novel Edge-Dependent Noise Model for Graph Data,"Pintu Kumar,Nandyala Hemachandra",edn novel edgedependent noise model graph data
Generalization Bound of Gradient Flow through Training Trajectory and Data-dependent Kernel,"Yilan Chen,Zhichao Wang,Wei Huang,Andi Han,Taiji Suzuki,Arya Mazumdar",generalization bound gradient flow training trajectory datadependent kernel
Improving Group Robustness on Spurious Correlation via Evidential Alignment,"Wenqian Ye,Guangtao Zheng,Aidong Zhang",improving group robustness spurious correlation via evidential alignment
The Sample Complexity of Parameter-Free Stochastic Convex Optimization,"Jared Lawrence,Ari Kalinsky,Hannah Bradfield,Yair Carmon,Oliver Hinder",sample complexity parameterfree stochastic convex optimization
An Attention-based Spatio-Temporal Neural Operator for Evolving Physics,"Vispi Karkaria,Doksoo Lee,Yi-Ping Chen,Yue Yu,Wei Chen",attentionbased spatiotemporal neural operator evolving physic
Sampling Imbalanced Data with Multi-objective Bilevel Optimization,"Karen Medlin,Sven Leyffer,Krishnan Raghavan",sampling imbalanced data multiobjective bilevel optimization
Domain-Constrained Diffusion Models to Synthesize Tabular Data: A Case Study in Power Systems,"Milad Hoseinpour,Vladimir Dvorkin",domainconstrained diffusion model synthesize tabular data case study power system
Detection of obstructions in oil and gas pipelines: machine learning techniques for hydrate classification,"Hellockston Gomes de Brito,Carla Wilza Souza de Paula Maitelli,Osvaldo Chiavone-Filho",detection obstruction oil gas pipeline machine learning technique hydrate classification
PolyMicros: Bootstrapping a Foundation Model for Polycrystalline Material Structure,"Michael Buzzy,Andreas Robertson,Peng Chen,Surya Kalidindi",polymicros bootstrapping foundation model polycrystalline material structure
NSW-EPNews: A News-Augmented Benchmark for Electricity Price Forecasting with LLMs,"Zhaoge Bi,Linghan Huang,Haolin Jin,Qingwen Zeng,Huaming Chen",nswepnews newsaugmented benchmark electricity price forecasting llm
Perception-Driven Bias Detection in Machine Learning via Crowdsourced Visual Judgment,"Chirudeep Tupakula,Rittika Shamsuddin",perceptiondriven bias detection machine learning via crowdsourced visual judgment
The Effects of Data Augmentation on Confidence Estimation for LLMs,"Rui Wang,Renyu Zhu,Minmin Lin,Runze Wu,Tangjie Lv,Changjie Fan,Haobo Wang",effect data augmentation confidence estimation llm
Procedural Environment Generation for Tool-Use Agents,"Michael Sullivan,Mareike Hartmann,Alexander Koller",procedural environment generation tooluse agent
Boost Post-Training Quantization via Null Space Optimization for Large Language Models,"Jiaqi Zhao,Miao Zhang,Weili Guan,Liqiang Nie",boost posttraining quantization via null space optimization large language model
GenFT: A Generative Parameter-Efficient Fine-Tuning Method for Pretrained Foundation Models,"Baoquan Zhang,Guangning Xu,Michael. K. Ng",genft generative parameterefficient finetuning method pretrained foundation model
ChemHGNN: A Hierarchical Hypergraph Neural Network for Reaction Virtual Screening and Discovery,"Xiaobao Huang,Yihong Ma,Anjali Gurajapu,Jules Schleinitz,Zhichun Guo,Sarah E. Reisman,Nitesh V. Chawla",chemhgnn hierarchical hypergraph neural network reaction virtual screening discovery
"Large Language models for Time Series Analysis: Techniques, Applications, and Challenges","Feifei Shi,Xueyan Yin,Kang Wang,Wanyu Tu,Qifu Sun,Huansheng Ning",large language model time series analysis technique application challenge
MoTE: Mixture of Task-specific Experts for Pre-Trained ModelBased Class-incremental Learning,"Linjie Li,Zhenyu Wu,Yang Ji",mote mixture taskspecific expert pretrained modelbased classincremental learning
Mini-Game Lifetime Value Prediction in WeChat,"Aochuan Chen,Yifan Niu,Ziqi Gao,Yujie Sun,Shoujun Liu,Gong Chen,Yang Liu,Jia Li",minigame lifetime value prediction wechat
Human-centered Interactive Learning via MLLMs for Text-to-Image Person Re-identification,"Yang Qin,Chao Chen,Zhihang Fu,Dezhong Peng,Xi Peng,Peng Hu",humancentered interactive learning via mllms texttoimage person reidentification
Deep Learning Approach to Bearing and Induction Motor Fault Diagnosis via Data Fusion,"Mert Sehri,Merve Ertagrin,Ozal Yildirim,Ahmet Orhan,Patrick Dumond",deep learning approach bearing induction motor fault diagnosis via data fusion
Evaluating Privacy-Utility Tradeoffs in Synthetic Smart Grid Data,"Andre Catarino,Rui Melo,Rui Abreu,Luis Cruz",evaluating privacyutility tradeoff synthetic smart grid data
Spectral Estimation with Free Decompression,"Siavash Ameli,Chris van der Heide,Liam Hodgkinson,Michael W. Mahoney",spectral estimation free decompression
Interpretable representation learning of quantum data enabled by probabilistic variational autoencoders,"Paulin de Schoulepnikoff,Gorka Muñoz-Gil,Hendrik Poulsen Nautrup,Hans J. Briegel",interpretable representation learning quantum data enabled probabilistic variational autoencoders
Learning Before Filtering: Real-Time Hardware Learning at the Detector Level,Boštjan Maček,learning filtering realtime hardware learning detector level
How Visual Representations Map to Language Feature Space in Multimodal LLMs,"Constantin Venhoff,Ashkan Khakzar,Sonia Joseph,Philip Torr,Neel Nanda",visual representation map language feature space multimodal llm
Automated Treatment Planning for Interstitial HDR Brachytherapy for Locally Advanced Cervical Cancer using Deep Reinforcement Learning,"Mohammadamin Moradi,Runyu Jiang,Yingzi Liu,Malvern Madondo,Tianming Wu,James J. Sohn,Xiaofeng Yang,Yasmin Hasan,Zhen Tian",automated treatment planning interstitial hdr brachytherapy locally advanced cervical cancer using deep reinforcement learning
Bubble Dynamics Transformer: Microrheology at Ultra-High Strain Rates,"Lehu Bu,Zhaohan Yu,Shaoting Lin,Jan N. Fuhg,Jin Yang",bubble dynamic transformer microrheology ultrahigh strain rate
Convergence of Momentum-Based Optimization Algorithms with Time-Varying Parameters,Mathukumalli Vidyasagar,convergence momentumbased optimization algorithm timevarying parameter
Decadal sink-source shifts of forest aboveground carbon since 1988,"Zhen Qian,Sebastian Bathiany,Teng Liu,Lana L. Blaschke,Hoong Chen Teo,Niklas Boers",decadal sinksource shift forest aboveground carbon since
Learning Overspecified Gaussian Mixtures Exponentially Fast with the EM Algorithm,"Zhenisbek Assylbekov,Alan Legg,Artur Pak",learning overspecified gaussian mixture exponentially fast algorithm
Vision-based Lifting of 2D Object Detections for Automated Driving,"Hendrik Königshof,Kun Li,Christoph Stiller",visionbased lifting object detection automated driving
Bayesian Optimization with Inexact Acquisition: Is Random Grid Search Sufficient?,"Hwanwoo Kim,Chong Liu,Yuxin Chen",bayesian optimization inexact acquisition random grid search sufficient
CLEAN-MI: A Scalable and Efficient Pipeline for Constructing High-Quality Neurodata in Motor Imagery Paradigm,"Dingkun Liu,Zhu Chen,Dongrui Wu",cleanmi scalable efficient pipeline constructing highquality neurodata motor imagery paradigm
Solving Inverse Problems in Stochastic Self-Organising Systems through Invariant Representations,"Elias Najarro,Nicolas Bessone,Sebastian Risi",solving inverse problem stochastic selforganising system invariant representation
CLIP Meets Diffusion: A Synergistic Approach to Anomaly Detection,"Byeongchan Lee,John Won,Seunghyun Lee,Jinwoo Shin",clip meet diffusion synergistic approach anomaly detection
Long-Short Alignment for Effective Long-Context Modeling in LLMs,"Tianqi Du,Haotian Huang,Yifei Wang,Yisen Wang",longshort alignment effective longcontext modeling llm
Using Deep Operators to Create Spatio-temporal Surrogates for Dynamical Systems under Uncertainty,"Jichuan Tang,Patrick T. Brewick,Ryan G. McClarren,Christopher Sweet",using deep operator create spatiotemporal surrogate dynamical system uncertainty
Bias and Identifiability in the Bounded Confidence Model,"Claudio Borile,Jacopo Lenti,Valentina Ghidini,Corrado Monti,Gianmarco De Francisci Morales",bias identifiability bounded confidence model
Enabling automatic transcription of child-centered audio recordings from real-world environments,"Daniil Kocharov,Okko Räsänen",enabling automatic transcription childcentered audio recording realworld environment
Data-driven approaches to inverse problems,"Carola-Bibiane Schönlieb,Zakhar Shumaylov",datadriven approach inverse problem
Quantum Learning and Estimation for Distribution Networks and Energy Communities Coordination,"Yingrui Zhuang,Lin Cheng,Yuji Cao,Tongxin Li,Ning Qi,Yan Xu,Yue Chen",quantum learning estimation distribution network energy community coordination
On the performance of multi-fidelity and reduced-dimensional neural emulators for inference of physiologic boundary conditions,"Chloe H. Choi,Andrea Zanoni,Daniele E. Schiavazzi,Alison L. Marsden",performance multifidelity reduceddimensional neural emulator inference physiologic boundary condition
Predicting Patient Survival with Airway Biomarkers using nn-Unet/Radiomics,"Zacharia Mesbah,Dhruv Jain,Tsiry Mayet,Romain Modzelewski,Romain Herault,Simon Bernard,Sebastien Thureau,Clement Chatelain",predicting patient survival airway biomarkers using nnunetradiomics
Deep Symmetric Autoencoders from the Eckart-Young-Schmidt Perspective,"Simone Brivio,Nicola Rares Franco",deep symmetric autoencoders eckartyoungschmidt perspective
Recursive KalmanNet: Deep Learning-Augmented Kalman Filtering for State Estimation with Consistent Uncertainty Quantification,"Hassan Mortada,Cyril Falcon,Yanis Kahil,Mathéo Clavaud,Jean-Philippe Michel",recursive kalmannet deep learningaugmented kalman filtering state estimation consistent uncertainty quantification
EasyARC: Evaluating Vision Language Models on True Visual Reasoning,"Mert Unsal,Aylin Akkus",easyarc evaluating vision language model true visual reasoning
SecONNds: Secure Outsourced Neural Network Inference on ImageNet,Shashank Balla,seconnds secure outsourced neural network inference imagenet
Gradients of unitary optical neural networks using parameter-shift rule,"Jinzhe Jiang,Yaqian Zhao,Xin Zhang,Chen Li,Yunlong Yu,Hailing Liu",gradient unitary optical neural network using parametershift rule
Learning Encodings by Maximizing State Distinguishability: Variational Quantum Error Correction,"Nico Meyer,Christopher Mutschler,Andreas Maier,Daniel D. Scherer",learning encoding maximizing state distinguishability variational quantum error correction
Manager: Aggregating Insights from Unimodal Experts in Two-Tower VLMs and MLLMs,"Xiao Xu,Libo Qin,Wanxiang Che,Min-Yen Kan",manager aggregating insight unimodal expert twotower vlms mllms
"SemanticST: Spatially Informed Semantic Graph Learning for Clustering, Integration, and Scalable Analysis of Spatial Transcriptomics","Roxana Zahedi,Ahmadreza Argha,Nona Farbehi,Ivan Bakhshayeshi,Youqiong Ye,Nigel H. Lovell,Hamid Alinejad-Rokny",semanticst spatially informed semantic graph learning clustering integration scalable analysis spatial transcriptomics
LiLAC: A Lightweight Latent ControlNet for Musical Audio Generation,"Tom Baker,Javier Nistal",lilac lightweight latent controlnet musical audio generation
On the Natural Robustness of Vision-Language Models Against Visual Perception Attacks in Autonomous Driving,"Pedram MohajerAnsari(1),Amir Salarpour(1),Michael Kühr(2),Siyu Huang(1),Mohammad Hamad(2),Sebastian Steinhorst(2),Habeeb Olufowobi(3),Mert D. Pesé(1) ((1) Clemson University, Clemson, SC, USA, (2) Technical University of Munich, Munich, Germany, (3) University of Texas at Arlington, Arlington, TX, USA)",natural robustness visionlanguage model visual perception attack autonomous driving
Fast Bayesian Optimization of Function Networks with Partial Evaluations,"Poompol Buathong,Peter I. Frazier",fast bayesian optimization function network partial evaluation
ReVeal: Self-Evolving Code Agents via Iterative Generation-Verification,"Yiyang Jin,Kunzhao Xu,Hang Li,Xueting Han,Yanmin Zhou,Cheng Li,Jing Bai",reveal selfevolving code agent via iterative generationverification
Convergence of physics-informed neural networks modeling time-harmonic wave fields,"Stefan Schoder,Aneta Furmanová,Viktor Hruška",convergence physicsinformed neural network modeling timeharmonic wave field
Polymorphism Crystal Structure Prediction with Adaptive Space Group Diversity Control,"Sadman Sadeed Omee,Lai Wei,Sourin Dey,Jianjun Hu",polymorphism crystal structure prediction adaptive space group diversity control
Efficient Traffic Classification using HW-NAS: Advanced Analysis and Optimization for Cybersecurity on Resource-Constrained Devices,"Adel Chehade,Edoardo Ragusa,Paolo Gastaldo,Rodolfo Zunino",efficient traffic classification using hwnas advanced analysis optimization cybersecurity resourceconstrained device
SwiftSpec: Ultra-Low Latency LLM Decoding by Scaling Asynchronous Speculative Decoding,"Ziyi Zhang,Ziheng Jiang,Chengquan Jiang,Menghan Yu,Size Zheng,Haibin Lin,Henry Hoffmann,Xin Liu",swiftspec ultralow latency llm decoding scaling asynchronous speculative decoding
Score-based Generative Diffusion Models to Synthesize Full-dose FDG Brain PET from MRI in Epilepsy Patients,"Jiaqi Wu,Jiahong Ouyang,Farshad Moradi,Mohammad Mehdi Khalighi,Greg Zaharchuk",scorebased generative diffusion model synthesize fulldose fdg brain pet mri epilepsy patient
Shapley Machine: A Game-Theoretic Framework for N-Agent Ad Hoc Teamwork,"Jianhong Wang,Yang Li,Samuel Kaski,Jonathan Lawry",shapley machine gametheoretic framework nagent hoc teamwork
Joint Denoising of Cryo-EM Projection Images using Polar Transformers,"Joakim Andén,Justus Sagemüller",joint denoising cryoem projection image using polar transformer
Learning a Continue-Thinking Token for Enhanced Test-Time Scaling,"Liran Ringel,Elad Tolochinsky,Yaniv Romano",learning continuethinking token enhanced testtime scaling
Collaborative Prediction: To Join or To Disjoin Datasets,"Kyung Rok Kim,Yansong Wang,Xiaocheng Li,Guanting Chen",collaborative prediction join disjoin datasets
Demonstration Sidetracks: Categorizing Systematic Non-Optimality in Human Demonstrations,"Shijie Fang,Hang Yu,Qidi Fang,Reuben M. Aronson,Elaine S. Short",demonstration sidetrack categorizing systematic nonoptimality human demonstration
Lifting Data-Tracing Machine Unlearning to Knowledge-Tracing for Foundation Models,"Yuwen Tan,Boqing Gong",lifting datatracing machine unlearning knowledgetracing foundation model
Enhanced Vehicle Speed Detection Considering Lane Recognition Using Drone Videos in California,"Amirali Ataee Naeini,Ashkan Teymouri,Ghazaleh Jafarsalehi,Michael Zhang",enhanced vehicle speed detection considering lane recognition using drone video california
BrainMAP: Multimodal Graph Learning For Efficient Brain Disease Localization,"Nguyen Linh Dan Le,Jing Ren,Ciyuan Peng,Chengyao Xie,Bowen Li,Feng Xia",brainmap multimodal graph learning efficient brain disease localization
Towards a general-purpose foundation model for fMRI analysis,"Cheng Wang,Yu Jiang,Zhihao Peng,Chenxin Li,Changbae Bang,Lin Zhao,Jinglei Lv,Jorge Sepulcre,Carl Yang,Lifang He,Tianming Liu,Daniel Barron,Quanzheng Li,Randy Hirschtick,Byung-Hoon Kim,Xiang Li,Yixuan Yuan",towards generalpurpose foundation model fmri analysis
VIBE: Can a VLM Read the Room?,"Tania Chakraborty,Eylon Caplan,Dan Goldwasser",vibe vlm read room
Brain-wide interpolation and conditioning of gene expression in the human brain using Implicit Neural Representations,"Xizheng Yu,Justin Torok,Sneha Pandya,Sourav Pal,Vikas Singh,Ashish Raj",brainwide interpolation conditioning gene expression human brain using implicit neural representation
Mutual-Supervised Learning for Sequential-to-Parallel Code Translation,"Changxin Ke,Rui Zhang,Shuo Wang,Li Ding,Guangli Li,Yuanbo Wen,Shuoming Zhang,Ruiyuan Xu,Jin Qin,Jiaming Guo,Chenxi Wang,Ling Li,Qi Guo,Yunji Chen",mutualsupervised learning sequentialtoparallel code translation
HEIST: A Graph Foundation Model for Spatial Transcriptomics and Proteomics Data,"Hiren Madhu,João Felipe Rocha,Tinglin Huang,Siddharth Viswanath,Smita Krishnaswamy,Rex Ying",heist graph foundation model spatial transcriptomics proteomics data
LLM-to-Phy3D: Physically Conform Online 3D Object Generation with LLMs,"Melvin Wong,Yueming Lyu,Thiago Rios,Stefan Menzel,Yew-Soon Ong",llmtophyd physically conform online object generation llm
HQFNN: A Compact Quantum-Fuzzy Neural Network for Accurate Image Classification,"Jianhong Yao,Yangming Guo",hqfnn compact quantumfuzzy neural network accurate image classification
FARCLUSS: Fuzzy Adaptive Rebalancing and Contrastive Uncertainty Learning for Semi-Supervised Semantic Segmentation,"Ebenezer Tarubinga,Jenifer Kalafatovich",farcluss fuzzy adaptive rebalancing contrastive uncertainty learning semisupervised semantic segmentation
Monocular 3D Hand Pose Estimation with Implicit Camera Alignment,"Christos Pantazopoulos,Spyridon Thermos,Gerasimos Potamianos",monocular hand pose estimation implicit camera alignment
Gender Fairness of Machine Learning Algorithms for Pain Detection,"Dylan Green,Yuting Shang,Jiaee Cheong,Yang Liu,Hatice Gunes",gender fairness machine learning algorithm pain detection
"Fifteen Years of Child-Centered Long-Form Recordings: Promises, Resources, and Remaining Challenges to Validity","Loann Peurey,Marvin Lavechin,Tarek Kunze,Manel Khentout,Lucas Gautheron,Emmanuel Dupoux,Alejandrina Cristia",fifteen year childcentered longform recording promise resource remaining challenge validity
Challenges in Automated Processing of Speech from Child Wearables: The Case of Voice Type Classifier,"Tarek Kunze,Marianne Métais,Hadrien Titeux,Lucas Elbert,Joseph Coffey,Emmanuel Dupoux,Alejandrina Cristia,Marvin Lavechin",challenge automated processing speech child wearable case voice type classifier
CodeMirage: A Multi-Lingual Benchmark for Detecting AI-Generated and Paraphrased Source Code from Production-Level LLMs,"Hanxi Guo,Siyuan Cheng,Kaiyuan Zhang,Guangyu Shen,Xiangyu Zhang",codemirage multilingual benchmark detecting aigenerated paraphrased source code productionlevel llm
A Framework for Non-Linear Attention via Modern Hopfield Networks,Ahmed Farooq,framework nonlinear attention via modern hopfield network
You Only Train Once: A Flexible Training Framework for Code Vulnerability Detection Driven by Vul-Vector,"Bowen Tian,Zhengyang Xu,Mingqiang Wu,Songning Lai,Yutai Yue",train flexible training framework code vulnerability detection driven vulvector
Evaluation is All You Need: Strategic Overclaiming of LLM Reasoning Capabilities Through Evaluation Design,"Lin Sun,Weihong Lin,Jinzhu Wu,Yongfu Zhu,Xiaoqi Jian,Guangxiang Zhao,Change Jia,Linglin Zhang,Sai-er Hu,Yuhan Wu,Xiangzheng Zhang",evaluation need strategic overclaiming llm reasoning capability evaluation design
"Build the web for agents, not agents for the web","Xing Han Lù,Gaurav Kamath,Marius Mosbach,Siva Reddy",build web agent agent web
Execution Guided Line-by-Line Code Generation,"Boaz Lavon,Shahar Katz,Lior Wolf",execution guided linebyline code generation
Self-Adapting Language Models,"Adam Zweiger,Jyothish Pari,Han Guo,Ekin Akyürek,Yoon Kim,Pulkit Agrawal",selfadapting language model
Developing a High-performance Framework for Speech Emotion Recognition in Naturalistic Conditions Challenge for Emotional Attribute Prediction,"Thanathai Lertpetchpun,Tiantian Feng,Dani Byrd,Shrikanth Narayanan",developing highperformance framework speech emotion recognition naturalistic condition challenge emotional attribute prediction
Sequential-Parallel Duality in Prefix Scannable Models,"Morris Yau,Sharut Gupta,Valerie Engelmayer,Kazuki Irie,Stefanie Jegelka,Jacob Andreas",sequentialparallel duality prefix scannable model
Foundation Models for Causal Inference via Prior-Data Fitted Networks,"Yuchen Ma,Dennis Frauen,Emil Javurek,Stefan Feuerriegel",foundation model causal inference via priordata fitted network
NoLoCo: No-all-reduce Low Communication Training Method for Large Models,"Jari Kolehmainen,Nikolay Blagoev,John Donaghy,Oğuzhan Ersoy,Christopher Nies",noloco noallreduce low communication training method large model
Lattice Climber Attack: Adversarial attacks for randomized mixtures of classifiers,"Lucas Gnecco-Heredia,Benjamin Negrevergne,Yann Chevaleyre",lattice climber attack adversarial attack randomized mixture classifier
Viability of Future Actions: Robust Safety in Reinforcement Learning via Entropy Regularization,"Pierre-François Massiani,Alexander von Rohr,Lukas Haverbeck,Sebastian Trimpe",viability future action robust safety reinforcement learning via entropy regularization
